日付,価格
1989-04-18,131.36
1989-04-19,132.46
1989-04-20,131.21
1989-04-21,131.45
1989-04-24,131.55
1989-04-25,131.36
1989-04-26,132.06
1989-04-27,132.02
1989-04-28,133.01
1989-05-01,133.89
1989-05-02,134.27
1989-05-03,134.23
1989-05-04,134.08
1989-05-05,134.23
1989-05-08,134.82
1989-05-09,134.53
1989-05-10,134.38
1989-05-11,135.22
1989-05-12,136.11
1989-05-15,137.14
1989-05-16,136.66
1989-05-17,139.23
1989-05-18,138.72
1989-05-19,138.98
1989-05-22,142.22
1989-05-23,142.29
1989-05-24,142.54
1989-05-25,141.24
1989-05-26,141.08
1989-05-29,142.78
1989-05-30,142.6
1989-05-31,142.84
1989-06-01,142.3
1989-06-02,140.48
1989-06-05,142.8
1989-06-06,142.64
1989-06-07,142.74
1989-06-08,143.04
1989-06-09,146.63
1989-06-12,148.62
1989-06-13,147.9
1989-06-14,149.46
1989-06-15,145.89
1989-06-16,144.81
1989-06-19,144.21
1989-06-20,144.77
1989-06-21,142.28
1989-06-22,141.06
1989-06-23,138.69
1989-06-26,141.24
1989-06-27,141.66
1989-06-28,143.34
1989-06-29,143.73
1989-06-30,143.93
1989-07-03,141.18
1989-07-04,141.58
1989-07-05,138.11
1989-07-06,138.73
1989-07-07,139.02
1989-07-10,139.18
1989-07-11,140.76
1989-07-12,139.52
1989-07-13,139.42
1989-07-14,140.82
1989-07-17,141.4
1989-07-18,141.58
1989-07-19,142.54
1989-07-20,141.18
1989-07-21,142.18
1989-07-24,142.54
1989-07-25,141.44
1989-07-26,139.86
1989-07-27,138.91
1989-07-28,139.15
1989-07-31,137.11
1989-08-01,135.73
1989-08-02,136.73
1989-08-03,137.33
1989-08-04,139.84
1989-08-07,139.98
1989-08-08,138.65
1989-08-09,139.09
1989-08-10,139.78
1989-08-11,141.78
1989-08-14,142.08
1989-08-15,142.08
1989-08-16,142.06
1989-08-17,143.34
1989-08-18,142.54
1989-08-21,143.02
1989-08-22,142.14
1989-08-23,143.08
1989-08-24,143.43
1989-08-25,143.81
1989-08-28,144.59
1989-08-29,143.26
1989-08-30,144.41
1989-08-31,144.89
1989-09-01,145.89
1989-09-04,145.97
1989-09-05,146.73
1989-09-06,146.07
1989-09-07,146.57
1989-09-08,147.17
1989-09-11,146.63
1989-09-12,147.15
1989-09-13,146.27
1989-09-14,146.75
1989-09-15,146.43
1989-09-18,145.61
1989-09-19,145.83
1989-09-20,145.13
1989-09-21,145.61
1989-09-22,145.97
